Name,Time-FD,Corr-FD,Sys-FD,Planner-FD
_problem_4_6_7_146__0,61127.85625457764,0.0,-1,-1
_problem_4_6_7_148__0,61163.9678478241,0.0,-1,-1
_problem_4_6_7_149__0,61143.24426651001,0.0,-1,-1
_problem_4_6_7_151__0,61138.272523880005,0.0,-1,-1
_problem_4_6_7_152__0,61130.33151626587,0.0,-1,-1
_problem_4_6_7_153__0,61130.401849746704,0.0,-1,-1
_problem_4_6_7_154__0,61167.93847084045,0.0,-1,-1
_problem_4_6_7_155__0,61182.78789520264,0.0,-1,-1
_problem_4_6_7_156__0,61096.1799621582,0.0,-1,-1
_problem_4_6_7_157__0,61173.70843887329,0.0,-1,-1
_problem_4_6_7_158__0,61168.79367828369,0.0,-1,-1
_problem_4_6_7_159__0,61139.70756530762,0.0,-1,-1
_problem_4_6_7_160__0,61191.02096557617,0.0,-1,-1
_problem_4_6_7_161__0,61150.044202804565,0.0,-1,-1
_problem_4_6_7_163__0,61116.31226539612,0.0,-1,-1
_problem_4_6_7_164__0,61131.77013397217,0.0,-1,-1
_problem_4_6_7_165__0,61127.17843055725,0.0,-1,-1
_problem_4_6_7_166__0,61124.77445602417,0.0,-1,-1
_problem_4_6_7_167__0,61152.01354026794,0.0,-1,-1
_problem_4_6_7_168__0,61160.77995300293,0.0,-1,-1
_problem_4_6_7_169__0,61133.76903533936,0.0,-1,-1
_problem_4_6_7_170__0,61148.52976799011,0.0,-1,-1
_problem_4_6_7_172__0,61108.75391960144,0.0,-1,-1
_problem_4_6_7_173__0,61126.87134742737,0.0,-1,-1
_problem_4_6_7_177__0,61161.407470703125,0.0,-1,-1
_problem_4_6_7_178__0,61091.01223945618,0.0,-1,-1
_problem_4_6_7_179__0,61122.82872200012,0.0,-1,-1
_problem_4_6_7_180__0,61134.57274436951,0.0,-1,-1
_problem_4_6_7_181__0,61162.72306442261,0.0,-1,-1
_problem_4_6_7_182__0,61151.716470718384,0.0,-1,-1
_problem_4_6_7_183__0,61145.69592475891,0.0,-1,-1
_problem_4_6_7_184__0,61145.09963989258,0.0,-1,-1
_problem_4_6_7_185__0,61137.291431427,0.0,-1,-1
_problem_4_6_7_187__0,61126.35612487793,0.0,-1,-1
_problem_4_6_7_188__0,61145.30873298645,0.0,-1,-1
_problem_4_6_7_189__0,61134.06538963318,0.0,-1,-1
_problem_4_6_7_190__0,61128.72385978699,0.0,-1,-1
_problem_4_6_7_191__0,61154.632806777954,0.0,-1,-1
_problem_4_6_7_192__0,61129.005908966064,0.0,-1,-1
_problem_4_6_7_193__0,61143.45264434815,0.0,-1,-1
_problem_4_6_7_194__0,61176.07641220093,0.0,-1,-1
_problem_4_6_7_196__0,61175.88663101196,0.0,-1,-1
_problem_4_6_7_197__0,61119.43507194519,0.0,-1,-1
_problem_4_6_7_198__0,61145.66898345947,0.0,-1,-1
_problem_4_6_7_199__0,61132.7919960022,0.0,-1,-1
_problem_5_7_9_10__0,61131.0441493988,0.0,-1,-1
_problem_5_7_9_11__0,61138.25225830078,0.0,-1,-1
_problem_5_7_9_12__0,61164.29829597473,0.0,-1,-1
_problem_5_7_9_13__0,61140.40613174439,0.0,-1,-1
_problem_5_7_9_14__0,61135.11872291565,0.0,-1,-1
_problem_5_7_9_15__0,61164.414405822754,0.0,-1,-1
_problem_5_7_9_16__0,61150.04086494446,0.0,-1,-1
_problem_5_7_9_17__0,61159.16728973389,0.0,-1,-1
_problem_5_7_9_18__0,61139.17064666748,0.0,-1,-1
_problem_5_7_9_19__0,61216.38464927673,0.0,-1,-1
_problem_5_7_9_20__0,61148.34380149841,0.0,-1,-1
_problem_5_7_9_5__0,61162.30249404907,0.0,-1,-1
blocksworld_problem_10_100__0,3580.6338787078857,1.0,2,1
blocksworld_problem_10_101__0,2930.038452148437,1.0,2,1
blocksworld_problem_10_102__0,2725.8338928222656,1.0,2,1
blocksworld_problem_10_103__0,2558.2218170166016,1.0,2,1
blocksworld_problem_10_104__0,2421.0550785064697,1.0,2,1
blocksworld_problem_10_105__0,2474.806070327759,1.0,2,1
blocksworld_problem_10_106__0,2565.7286643981934,1.0,2,1
blocksworld_problem_10_107__0,2902.8472900390625,1.0,2,1
blocksworld_problem_10_108__0,4040.5972003936768,1.0,2,1
blocksworld_problem_10_109__0,43110.36801338196,1.0,2,1
blocksworld_problem_10_110__0,3143.306255340576,1.0,2,1
blocksworld_problem_10_111__0,2616.4112091064453,1.0,2,1
blocksworld_problem_10_112__0,2952.266216278076,1.0,2,1
blocksworld_problem_10_113__0,4454.114675521851,1.0,2,1
blocksworld_problem_10_114__0,2607.9440116882324,1.0,2,1
blocksworld_problem_10_115__0,2955.493211746216,1.0,2,1
blocksworld_problem_10_116__0,3835.736989974976,1.0,2,1
blocksworld_problem_10_117__0,2455.35945892334,1.0,2,1
