Name,Time-SOFAI-PF-FD,Corr-SOFAI-PF-FD,Sys-SOFAI-PF-FD,Planner-SOFAI-PF-FD
blocksworld_problem_10_114__0,5867.774486541748,1.0,2,1
blocksworld_problem_10_115__0,8909.307956695557,1.0,2,1
blocksworld_problem_10_116__0,6209.554195404053,1.0,2,1
blocksworld_problem_10_117__0,6072.382211685181,1.0,2,1
blocksworld_problem_10_118__0,9377.708435058594,1.0,2,1
blocksworld_problem_10_119__0,6475.605010986328,1.0,2,1
blocksworld_problem_10_91__0,5924.354076385498,1.0,2,1
blocksworld_problem_10_92__0,7449.474334716797,1.0,2,1
blocksworld_problem_10_93__0,7207.3986530303955,1.0,2,1
blocksworld_problem_10_94__0,6494.662284851074,1.0,2,1
blocksworld_problem_10_95__0,6791.425943374634,1.0,2,1
blocksworld_problem_10_96__0,9667.391538619995,1.0,2,1
blocksworld_problem_10_97__0,11151.5691280365,1.0,2,1
blocksworld_problem_10_98__0,9386.17777824402,1.0,2,1
blocksworld_problem_10_99__0,7020.684003829956,1.0,2,1
blocksworld_problem_12_10__0,7964.280128479004,1.0,2,1
blocksworld_problem_12_11__0,13533.827543258669,1.0,2,1
blocksworld_problem_12_13__0,6870.3343868255615,1.0,2,1
blocksworld_problem_12_14__0,12469.102144241331,1.0,2,1
blocksworld_problem_12_18__0,8884.551286697388,1.0,2,1
blocksworld_problem_12_19__0,16208.101272583008,1.0,2,1
blocksworld_problem_12_1__0,5945.416688919067,1.0,2,1
blocksworld_problem_12_21__0,8025.551319122314,1.0,2,1
blocksworld_problem_12_22__0,6656.895160675049,1.0,2,1
blocksworld_problem_12_24__0,27324.55682754517,1.0,2,1
blocksworld_problem_12_26__0,25135.204792022705,1.0,2,1
blocksworld_problem_12_27__0,14471.046447753906,1.0,2,1
blocksworld_problem_12_28__0,35338.468074798584,1.0,2,1
blocksworld_problem_12_29__0,17783.577919006348,1.0,2,1
blocksworld_problem_12_2__0,11284.445524215698,1.0,2,1
blocksworld_problem_12_30__0,12196.365356445312,1.0,2,1
blocksworld_problem_12_31__0,12289.380073547363,1.0,2,1
blocksworld_problem_12_33__0,56099.4439125061,1.0,2,1
blocksworld_problem_12_36__0,7033.025979995728,1.0,2,1
blocksworld_problem_12_37__0,7020.187377929688,1.0,2,1
blocksworld_problem_12_39__0,10206.17961883545,1.0,2,1
blocksworld_problem_12_3__0,19395.179510116577,1.0,2,1
blocksworld_problem_12_40__0,10694.243907928469,1.0,2,1
blocksworld_problem_12_41__0,31064.33582305908,1.0,2,1
blocksworld_problem_12_44__0,13160.580158233644,1.0,2,1
blocksworld_problem_12_46__0,8385.65969467163,1.0,2,1
blocksworld_problem_12_4__0,26403.392553329468,1.0,2,1
blocksworld_problem_12_50__0,9001.980066299438,1.0,2,1
blocksworld_problem_12_52__0,9432.315587997437,1.0,2,1
blocksworld_problem_12_53__0,6859.829664230347,1.0,2,1
blocksworld_problem_12_54__0,48826.67589187622,1.0,2,1
blocksworld_problem_12_57__0,14890.14220237732,1.0,2,1
blocksworld_problem_12_59__0,9418.147802352903,1.0,2,1
blocksworld_problem_12_5__0,8208.713054656982,1.0,2,1
blocksworld_problem_12_60__0,20323.304414749146,1.0,2,1
blocksworld_problem_12_61__0,9372.366666793823,1.0,2,1
blocksworld_problem_12_63__0,45543.55883598328,1.0,2,1
blocksworld_problem_12_64__0,8130.304098129272,1.0,2,1
blocksworld_problem_12_65__0,8507.687330245972,1.0,2,1
blocksworld_problem_12_66__0,10871.567487716677,1.0,2,1
blocksworld_problem_12_67__0,7292.415618896484,1.0,2,1
blocksworld_problem_12_6__0,9044.248819351196,1.0,2,1
blocksworld_problem_12_70__0,15044.894218444824,1.0,2,1
blocksworld_problem_12_77__0,9388.003587722778,1.0,2,1
blocksworld_problem_12_7__0,13514.126539230348,1.0,2,1
blocksworld_problem_12_8__0,9442.955017089844,1.0,2,1
blocksworld_problem_12_9__0,6830.899000167847,1.0,2,1
ferry_ferry-l6-c6__0,8848.315238952637,1.0,2,1
ferry_ferry-l6-c6__1,9217.756986618042,1.0,2,1
ferry_ferry-l6-c6__10,9478.351354599,1.0,2,1
ferry_ferry-l6-c6__11,7477.013826370239,1.0,2,1
ferry_ferry-l6-c6__12,9744.714975357056,1.0,2,1
ferry_ferry-l6-c6__13,7698.155403137207,1.0,2,1
ferry_ferry-l6-c6__14,7961.555242538452,1.0,2,1
ferry_ferry-l6-c6__15,9381.579637527466,1.0,2,1
ferry_ferry-l6-c6__16,11322.247505187988,1.0,2,1
ferry_ferry-l6-c6__17,7406.296491622925,1.0,2,1
ferry_ferry-l6-c6__18,9545.721292495728,1.0,2,1
