Name,Time-SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
ferry_ferry-l6-c6__57,5045.916557312012,1.0,1,
ferry_ferry-l6-c6__58,5389.958620071411,1.0,2,3.0
ferry_ferry-l6-c6__59,5954.885005950928,1.0,1,
ferry_ferry-l6-c6__6,5945.846796035767,1.0,1,
ferry_ferry-l6-c6__60,6082.446336746216,1.0,1,
ferry_ferry-l6-c6__61,5746.129274368286,1.0,1,
ferry_ferry-l6-c6__62,5537.049293518066,1.0,1,
ferry_ferry-l6-c6__63,5361.787796020508,1.0,1,
ferry_ferry-l6-c6__64,5673.882961273193,1.0,1,
ferry_ferry-l6-c6__65,5536.784887313843,1.0,1,
ferry_ferry-l6-c6__66,5543.567180633545,1.0,1,
ferry_ferry-l6-c6__67,6344.914197921753,1.0,1,
ferry_ferry-l6-c6__68,5250.144481658936,1.0,1,
ferry_ferry-l6-c6__69,5337.4316692352295,1.0,1,
ferry_ferry-l6-c6__7,5205.276250839233,1.0,1,
ferry_ferry-l6-c6__70,6080.200672149658,1.0,2,3.0
ferry_ferry-l6-c6__71,5531.489133834839,1.0,1,
ferry_ferry-l6-c6__72,5270.974636077881,1.0,1,
ferry_ferry-l6-c6__73,5680.729150772095,1.0,1,
ferry_ferry-l6-c6__74,5603.4836769104,1.0,1,
ferry_ferry-l6-c6__75,5684.734582901001,1.0,1,
ferry_ferry-l6-c6__76,5637.565612792969,1.0,1,
ferry_ferry-l6-c6__77,5228.616237640381,1.0,1,
ferry_ferry-l6-c6__78,5185.9753131866455,1.0,1,
ferry_ferry-l6-c6__79,5614.967823028564,1.0,1,
ferry_ferry-l6-c6__8,5501.735687255859,1.0,2,3.0
ferry_ferry-l6-c6__80,5741.585969924927,1.0,1,
ferry_ferry-l6-c6__81,5154.761791229248,1.0,1,
ferry_ferry-l6-c6__82,5453.516006469727,1.0,1,
ferry_ferry-l6-c6__83,5547.093152999878,1.0,1,
ferry_ferry-l6-c6__84,5621.32716178894,1.0,1,
ferry_ferry-l6-c6__85,5338.279008865356,1.0,1,
ferry_ferry-l6-c6__86,5176.684379577637,1.0,1,
ferry_ferry-l6-c6__87,5505.371570587158,1.0,1,
ferry_ferry-l6-c6__88,5156.528949737549,1.0,1,
ferry_ferry-l6-c6__89,5817.171096801758,1.0,1,
ferry_ferry-l6-c6__9,4929.68487739563,1.0,1,
ferry_ferry-l6-c6__90,5625.331401824951,1.0,1,
ferry_ferry-l6-c6__91,5372.247934341431,1.0,1,
ferry_ferry-l6-c6__92,5719.8357582092285,1.0,1,
ferry_ferry-l6-c6__93,5943.942070007324,1.0,1,
ferry_ferry-l6-c6__94,5297.218561172485,1.0,1,
ferry_ferry-l6-c6__95,5793.431758880615,1.0,1,
ferry_ferry-l6-c6__96,5488.979339599609,1.0,1,
ferry_ferry-l6-c6__97,5770.850658416748,1.0,1,
ferry_ferry-l6-c6__98,5339.94197845459,1.0,1,
ferry_ferry-l6-c6__99,5589.311361312866,1.0,2,3.0
gripper-strips_problem_4_6_7_113__0,5749.420642852783,1.0,2,3.0
gripper-strips_problem_4_6_7_114__0,5774.385929107666,1.0,2,3.0
gripper-strips_problem_4_6_7_115__0,6431.44965171814,1.0,2,3.0
gripper-strips_problem_4_6_7_116__0,5634.978532791138,1.0,2,3.0
gripper-strips_problem_4_6_7_117__0,5889.1441822052,1.0,2,3.0
gripper-strips_problem_4_6_7_118__0,6170.6178188323975,1.0,2,3.0
gripper-strips_problem_4_6_7_119__0,5699.0931034088135,1.0,1,
gripper-strips_problem_4_6_7_120__0,5580.545425415039,1.0,2,3.0
gripper-strips_problem_4_6_7_121__0,6176.966667175293,1.0,2,3.0
gripper-strips_problem_4_6_7_122__0,5779.313564300537,1.0,2,3.0
gripper-strips_problem_4_6_7_123__0,6382.021903991699,1.0,2,3.0
gripper-strips_problem_4_6_7_124__0,5581.5136432647705,1.0,2,3.0
gripper-strips_problem_4_6_7_125__0,5599.760293960571,1.0,2,3.0
gripper-strips_problem_4_6_7_126__0,6139.784574508667,1.0,2,3.0
gripper-strips_problem_4_6_7_127__0,5526.835203170776,1.0,2,3.0
gripper-strips_problem_4_6_7_128__0,6032.640695571899,1.0,2,3.0
gripper-strips_problem_4_6_7_129__0,5898.2789516448975,1.0,2,3.0
gripper-strips_problem_4_6_7_130__0,5931.825637817383,1.0,2,3.0
gripper-strips_problem_4_6_7_131__0,6114.974021911621,1.0,2,3.0
gripper-strips_problem_4_6_7_132__0,5942.93737411499,1.0,2,3.0
gripper-strips_problem_4_6_7_133__0,5489.14647102356,1.0,2,3.0
gripper-strips_problem_4_6_7_134__0,5813.600778579712,1.0,2,3.0
gripper-strips_problem_4_6_7_135__0,5874.523401260376,1.0,2,3.0
gripper-strips_problem_4_6_7_136__0,5665.223598480225,1.0,2,3.0
gripper-strips_problem_4_6_7_137__0,5624.1490840911865,1.0,2,3.0
gripper-strips_problem_4_6_7_138__0,5234.520435333252,1.0,2,3.0
gripper-strips_problem_4_6_7_139__0,5026.079177856445,1.0,2,3.0
gripper-strips_problem_4_6_7_140__0,5843.94907951355,1.0,2,3.0
gripper-strips_problem_4_6_7_141__0,5651.658058166504,1.0,2,3.0
gripper-strips_problem_4_6_7_142__0,5848.7749099731445,1.0,2,3.0
gripper-strips_problem_4_6_7_143__0,5981.847047805786,1.0,2,3.0
gripper-strips_problem_4_6_7_144__0,5958.219528198242,1.0,2,3.0
gripper-strips_problem_4_6_7_145__0,5865.260362625122,1.0,2,3.0
gripper-strips_problem_4_6_7_146__0,6342.88501739502,1.0,2,3.0
gripper-strips_problem_4_6_7_147__0,5984.2188358306885,1.0,2,3.0
gripper-strips_problem_4_6_7_148__0,5867.204189300537,1.0,2,3.0
gripper-strips_problem_4_6_7_149__0,5681.768417358398,1.0,2,3.0
gripper-strips_problem_4_6_7_150__0,5765.893220901489,1.0,1,
gripper-strips_problem_4_6_7_151__0,6103.979825973511,1.0,2,3.0
gripper-strips_problem_4_6_7_152__0,5837.648868560791,1.0,2,3.0
gripper-strips_problem_4_6_7_153__0,5773.192644119263,1.0,2,3.0
gripper-strips_problem_4_6_7_154__0,5963.603019714356,1.0,2,3.0
gripper-strips_problem_4_6_7_155__0,6180.9563636779785,1.0,2,3.0
gripper-strips_problem_4_6_7_156__0,5665.714740753174,1.0,2,3.0
gripper-strips_problem_4_6_7_157__0,5921.835422515869,1.0,2,3.0
gripper-strips_problem_4_6_7_158__0,5729.159355163574,1.0,1,
gripper-strips_problem_4_6_7_159__0,5585.314989089966,1.0,2,3.0
gripper-strips_problem_4_6_7_160__0,6029.306411743164,1.0,2,3.0
gripper-strips_problem_4_6_7_161__0,5655.653238296509,1.0,2,3.0
gripper-strips_problem_4_6_7_162__0,5295.504093170166,1.0,2,3.0
gripper-strips_problem_4_6_7_163__0,5584.622859954834,1.0,2,3.0
gripper-strips_problem_4_6_7_164__0,5668.488502502441,1.0,2,3.0
gripper-strips_problem_4_6_7_165__0,5586.805105209351,1.0,2,3.0
gripper-strips_problem_4_6_7_166__0,5882.073402404785,1.0,2,3.0
gripper-strips_problem_4_6_7_167__0,6176.406383514404,1.0,2,3.0
gripper-strips_problem_4_6_7_168__0,5295.162916183472,1.0,2,3.0
gripper-strips_problem_4_6_7_169__0,5724.407434463501,1.0,1,
gripper-strips_problem_4_6_7_170__0,6402.627944946289,1.0,2,3.0
