Name,FD,Corr-FD,Sys-FD,Planner-FD,SOFAI-PF-FD,Corr-SOFAI-PF-FD,Sys-SOFAI-PF-FD,Planner-SOFAI-PF-FD,SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
zBW_problem_6_161__0,2364.808798,1,2,1,7076.650143,1,2,1,9567.782164,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__24,2365.982294,1,2,1,,,,,5699.170113,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__12,2366.836548,1,2,1,,,,,5631.424189,1,1,
zBW_problem_6_153__0,2366.928816,1,2,1,7292.425632,1,2,1,7995.232344,1,2,3
ferry-l6-c6__62,2366.98246,1,2,1,5433.083534,1,1,,5537.049294,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__32,2372.075081,1,2,1,,,,,5599.284649,1,1,
ferry-l6-c6__51,2373.39282,1,2,1,5901.676893,1,1,,5463.676453,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__22,2376.332283,1,2,1,,,,,5416.75663,1,1,
zBW_problem_6_139__0,2377.89917,1,2,1,7385.73885,1,2,1,8724.251986,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__17,2377.976179,1,2,1,,,,,5118.985176,1,1,
zBW_problem_6_147__0,2378.603458,1,2,1,6274.989605,1,2,1,8490.294456,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__42,2380.150795,1,2,1,,,,,5342.61775,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__54,2382.009983,1,2,1,,,,,6004.374504,1,1,
zBW_problem_6_103__0,2382.928371,1,2,1,6520.798206,1,2,1,5194.895744,1,2,3
zBW_problem_6_166__0,2384.167194,1,2,1,7976.642609,1,2,1,9362.070322,1,2,1
ferry-l6-c6__99,2384.938478,1,2,1,7220.236301,1,2,1,5589.311361,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__1,2385.439873,1,2,1,,,,,5613.982201,1,1,
ferry-l6-c6__70,2385.674715,1,2,1,5605.052471,1,1,,6080.200672,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__9,2386.352301,1,2,1,,,,,5424.47567,1,1,
ferry-l6-c6__90,2386.87396,1,2,1,5294.813633,1,1,,5625.331402,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__12,2387.698889,1,2,1,,,,,5408.866882,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__23,2392.82608,1,2,1,,,,,5443.21084,1,1,
ferry-l6-c6__14,2393.308401,1,2,1,5631.424189,1,1,,5431.668758,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__27,2393.435955,1,2,1,,,,,5351.595402,1,1,
zBW_problem_6_198__0,2394.771576,1,2,1,8843.400478,1,2,1,9257.519007,1,2,3
ferry-l6-c6__13,2395.062923,1,2,1,5385.281563,1,1,,5674.472332,1,1,
ferry-l6-c6__63,2395.298243,1,2,1,5329.605103,1,1,,5361.787796,1,1,
zBW_problem_10_99__0,2396.375179,1,2,1,7020.684004,1,2,1,5845.922947,1,2,3
zBW_problem_6_196__0,2396.563768,1,2,1,7753.956318,1,2,1,6394.893646,0,-1,-1
ferry-l6-c6__61,2397.785425,1,2,1,5402.08149,1,1,,5746.129274,1,1,
ferry-l6-c6__27,2398.393154,1,2,1,5509.93371,1,1,,5223.170519,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__23,2399.918795,1,2,1,9844.415426,1,2,1,5977.233171,1,2,3
zBW_problem_6_125__0,2400.972843,1,2,1,6875.798941,1,2,1,8996.147156,1,2,3
ferry-l6-c6__52,2401.892185,1,2,1,5286.920786,1,1,,5222.322702,1,1,
ferry-l6-c6__56,2404.080868,1,2,1,5952.316523,1,1,,5697.615862,1,1,
zBW_problem_6_150__0,2404.369831,1,2,1,5910.197973,1,2,1,5088.745117,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__50,2404.750347,1,2,1,,,,,5426.124573,1,1,
ferry-l6-c6__73,2404.751301,1,2,1,5385.764837,1,1,,5680.729151,1,1,
ferry-l6-c6__91,2404.844999,1,2,1,5549.906492,1,1,,5372.247934,1,1,
ferry-l6-c6__80,2406.165123,1,2,1,5620.913029,1,1,,5741.58597,1,1,
zBW_problem_6_179__0,2406.579971,1,2,1,5896.020174,1,2,1,4789.841175,1,2,3
zBW_problem_6_165__0,2407.319546,1,2,1,6930.377245,1,2,1,5273.65613,0,-1,-1
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__38,2407.802582,1,2,1,,,,,5635.080099,1,1,
ferry-l6-c6__36,2407.844305,1,2,1,5716.140032,1,1,,5249.857664,1,1,
ferry-l6-c6__34,2411.000967,1,2,1,5680.623531,1,1,,5710.818768,1,1,
ferry-l6-c6__31,2411.349773,1,2,1,5471.743822,1,1,,5077.037573,1,1,
ferry-l6-c6__85,2413.149834,1,2,1,5426.124573,1,1,,5338.279009,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__14,2413.510084,1,2,1,,,,,5564.837933,1,1,
ferry-l6-c6__72,2415.513039,1,2,1,5635.080099,1,1,,5270.974636,1,1,
zBW_problem_6_169__0,2416.56208,1,2,1,10150.95949,1,2,1,8770.309687,1,2,1
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__40,2416.904688,1,2,1,,,,,5256.605864,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__57,2417.841911,1,2,1,,,,,5549.906492,1,1,
ferry-l6-c6__11,2418.044806,1,2,1,5613.982201,1,1,,5481.897831,1,1,
zBW_problem_6_190__0,2418.392181,1,2,1,6858.472109,1,2,1,6033.394814,0,-1,-1
zBW_problem_6_182__0,2419.943094,1,2,1,6173.393965,1,2,1,4987.86664,1,2,3
ferry-l6-c6__93,2420.455933,1,2,1,5312.645912,1,1,,5943.94207,1,1,
zBW_problem_6_191__0,2420.577288,1,2,1,6917.683125,1,2,1,10059.32164,1,2,3
zBW_problem_10_104__0,2421.055079,1,2,1,7083.729982,1,2,1,8473.269224,1,2,1
zBW_problem_6_122__0,2421.229601,1,2,1,7267.063141,1,2,1,7819.111109,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__20,2421.912193,1,2,1,,,,,5401.88241,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__28,2422.079563,1,2,1,,,,,5270.46752,1,1,
ferry-l6-c6__0,2422.271967,1,2,1,5770.850658,1,1,,5722.74518,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__16,2422.914982,1,2,1,,,,,5548.40517,1,1,
ferry-l6-c6__3,2424.181938,1,2,1,5273.801565,1,1,,5717.087746,1,1,
