Problem-JAC,Time-JAC,Correctness-JAC,Sys-JAC,Problem-PF,Time-PF,Correctness-PF,Sys-PF,Problem-MIX,Time-MIX,Correctness-MIX,Sys-MIX,Problem-FD,Time-FD,Correctness-FD,Sys-FD
problem_11_2, 15.625,1.0,2,problem_11_3, 23282.336235046387,0.9285714285714286,1,problem_11_33, 25470.479249954224,0.8461538461538461,1,problem_11_2, 15.625,1.0,2
problem_11_20, 1843.75,1.0,2,problem_11_31, 1906.25,1.0,2,problem_11_34, 29602.132320404053,0.9166666666666666,1,problem_11_20, 1828.12,1.0,2
problem_11_21, 29031.199999999997,1.0,2,problem_11_32, 23058.28285217285,1.0,1,problem_11_35, 22065.348148345947,0.8571428571428571,1,problem_11_21, 28562.5,1.0,2
problem_11_22, 13453.099999999999,1.0,2,problem_11_33, 25071.667194366455,0.8461538461538461,1,problem_11_36, 26395.6081867218,1.0,1,problem_11_22, 13250.0,1.0,2
problem_11_23, 90000.0,0,-1,problem_11_35, 20694.311380386353,0.8571428571428571,1,problem_11_37, 23087.297677993774,0.8461538461538461,1,problem_11_23, 90000.0,0,-1
problem_11_24, 109.375,1.0,2,problem_11_37, 21920.844316482544,0.9230769230769231,1,problem_11_38, 27182.26170539856,1.0,1,problem_11_24, 109.375,1.0,2
problem_11_25, 90000.0,0,-1,problem_11_38, 25758.63790512085,0.9285714285714286,1,problem_11_39, 14097.173690795898,0.8666666666666667,1,problem_11_25, 90000.0,0,-1
problem_11_26, 6031.25,1.0,2,problem_11_39, 13546.980142593384,0.8666666666666667,1,problem_11_4, 24197.940349578857,1.0,1,problem_11_26, 5875.0,1.0,2
problem_11_27, 140.625,1.0,2,problem_11_4, 23156.693696975708,1.0,1,problem_11_40, 22710.51073074341,0.9285714285714286,1,problem_11_27, 140.625,1.0,2
problem_11_28, 2375.0,1.0,2,problem_11_40, 22014.580488204956,0.9285714285714286,1,problem_11_41, 26619.980812072754,0.9230769230769231,1,problem_11_28, 2281.25,1.0,2
problem_11_29, 265.625,1.0,2,problem_11_41, 25583.515644073486,0.9230769230769231,1,problem_11_42, 24381.717681884766,0.8571428571428571,1,problem_11_29, 250.0,1.0,2
problem_11_3, 9203.12,1.0,2,problem_11_42, 23027.39453315735,0.8571428571428571,1,problem_11_43, 24253.894090652466,0.9285714285714286,1,problem_11_3, 8796.88,1.0,2
problem_11_30, 90000.0,0,-1,problem_11_43, 21974.921941757202,0.9285714285714286,1,problem_11_44, 27008.033514022827,1.0,1,problem_11_30, 90000.0,0,-1
problem_11_31, 1875.0,1.0,2,problem_11_44, 25987.828254699707,1.0,1,problem_11_45, 20330.320835113525,1.0,1,problem_11_31, 1859.38,1.0,2
problem_11_32, 29234.4,1.0,2,problem_11_45, 20859.282970428467,1.0,1,problem_11_46, 22812.001705169678,1.0,1,problem_11_32, 28250.0,1.0,2
problem_11_33, 19953.1,1.0,2,problem_11_46, 22065.884351730347,1.0,1,problem_11_47, 25729.199171066284,0.8333333333333334,1,problem_11_33, 19609.4,1.0,2
problem_11_34, 10687.5,1.0,2,problem_11_48, 26008.877515792847,0.9230769230769231,1,problem_11_48, 25489.80450630188,0.9230769230769231,1,problem_11_34, 10359.400000000001,1.0,2
problem_11_35, 2171.8799999999997,1.0,2,problem_11_49, 24405.35545349121,1.0,1,problem_11_49, 25432.485342025757,1.0,1,problem_11_35, 2078.1200000000003,1.0,2
problem_11_36, 12734.400000000001,1.0,2,problem_11_5, 20893.19348335266,0.9333333333333333,1,problem_11_5, 18961.115837097168,0.8666666666666667,1,problem_11_36, 12562.5,1.0,2
problem_11_37, 156.25,1.0,2,problem_11_50, 16162.120819091797,0.7692307692307693,1,problem_11_50, 20049.757480621338,0.8461538461538461,1,problem_11_37, 171.875,1.0,2
problem_11_38, 156.25,1.0,2,problem_11_6, 25076.773643493652,0.8333333333333334,1,problem_11_6, 25934.744596481323,0.75,1,problem_11_38, 140.625,1.0,2
problem_11_39, 15.625,1.0,2,problem_11_7, 22028.182983398438,0.9166666666666666,1,problem_11_7, 21690.698385238647,1.0,1,problem_11_39, 0.0,1.0,2
problem_11_4, 8671.88,1.0,2,problem_11_8, 22135.688066482544,1.0,1,problem_11_8, 22934.187650680542,1.0,1,problem_11_4, 8562.5,1.0,2
problem_11_40, 3312.5,1.0,2,problem_11_9, 23290.298223495483,0.9285714285714286,1,problem_11_9, 24352.895498275757,0.8571428571428571,1,problem_11_40, 3296.8799999999997,1.0,2
problem_11_41, 17312.5,1.0,2,problem_12_10, 19912.87136077881,0.8666666666666667,1,problem_12_1, 27910.451889038086,0.9230769230769231,1,problem_11_41, 17140.6,1.0,2
problem_11_42, 1328.12,1.0,2,problem_12_12, 25208.150148391724,0.9285714285714286,1,problem_12_10, 20484.134674072266,0.8666666666666667,1,problem_11_42, 1343.75,1.0,2
problem_11_43, 26625.0,1.0,2,problem_12_14, 23682.93285369873,1.0,1,problem_12_12, 25586.86375617981,0.8571428571428571,1,problem_11_43, 26734.4,1.0,2
problem_11_44, 29156.199999999997,1.0,2,problem_12_15, 23294.76237297058,0.9333333333333333,1,problem_12_14, 22274.465560913086,1.0,1,problem_11_44, 29031.199999999997,1.0,2
problem_11_45, 3718.75,1.0,2,problem_12_16, 24464.7433757782,0.7857142857142857,1,problem_12_15, 24706.013441085815,0.9333333333333333,1,problem_11_45, 3640.6200000000003,1.0,2
problem_11_46, 4296.88,1.0,2,problem_12_17, 25372.713088989258,0.7857142857142857,1,problem_12_16, 24158.597707748413,0.7857142857142857,1,problem_11_46, 4328.12,1.0,2
problem_11_47, 18625.0,1.0,2,problem_12_18, 26665.414333343506,0.7857142857142857,1,problem_12_17, 28717.435836791992,0.8571428571428571,1,problem_11_47, 17781.199999999997,1.0,2
problem_11_48, 2062.5,1.0,2,problem_12_19, 28475.529432296753,0.7692307692307693,1,problem_12_18, 24796.107530593872,0.8571428571428571,1,problem_11_48, 2046.8799999999999,1.0,2
problem_11_49, 90000.0,0,-1,problem_12_21, 22018.77737045288,0.8125,1,problem_12_2, 24460.55293083191,0.6923076923076923,1,problem_11_49, 90000.0,0,-1
problem_11_5, 46.875,1.0,2,problem_12_22, 24748.090982437134,0.7692307692307693,1,problem_12_21, 23162.33229637146,0.8125,1,problem_11_5, 46.875,1.0,2
problem_11_50, 15.625,1.0,2,problem_12_23, 24804.105043411255,0.8571428571428571,1,problem_12_22, 26056.010007858276,0.7692307692307693,1,problem_11_50, 15.625,1.0,2
problem_11_6, 90000.0,0,-1,problem_12_24, 25869.083404541016,0.6428571428571429,1,problem_12_23, 29762.192010879517,0.9285714285714286,1,problem_11_6, 90000.0,0,-1
problem_11_7, 9.580612182617188,1.0,1,problem_12_25, 23511.882305145264,0.8,1,problem_12_24, 22980.88312149048,0.7857142857142857,1,problem_11_7, 43656.2,1.0,2
problem_11_8, 9.322881698608398,1.0,1,problem_12_26, 21217.023372650146,0.6428571428571429,1,problem_12_25, 26036.15689277649,0.8666666666666667,1,problem_11_8, 3937.5,1.0,2
problem_11_9, 9.267568588256836,1.0,1,problem_12_28, 26646.049976348877,0.8571428571428571,1,problem_12_26, 25596.477508544922,0.9285714285714286,1,problem_11_9, 2375.0,1.0,2
problem_12_1, 23593.800000000003,1.0,2,problem_12_29, 29629.168272018433,0.8461538461538461,1,problem_12_27, 27789.250373840332,0.8571428571428571,1,problem_12_1, 23171.9,1.0,2
