Problem-JAC,Jaccard,Correctness-JAC,Sys-JAC,Problem-PF,SOFAIxPlansformers,Correctness-PF,Sys-PF,Problem-MIX,SOFAIxPlanning,Correctness-MIX,Sys-MIX,Problem-FD,Fast Downward,Correctness-FD,Sys-FD
problem_04_0468,0.0,1.0,2,problem_04_0468,12635.251522064207,1.0,1,problem_04_0469,11035.067558288574,1.0,1,problem_04_0468,15.625,1.0,2
problem_04_0469,16.937971115112305,0.6666666666666666,1,problem_04_0469,11166.958093643188,1.0,1,problem_04_0470,10918.580293655396,1.0,1,problem_04_0469,15.625,1.0,2
problem_04_0470,0.0,1.0,2,problem_04_0470,11324.39923286438,1.0,1,problem_04_0471,9990.597248077393,1.0,1,problem_04_0470,0.0,1.0,2
problem_04_0471,16.490459442138672,0.5,1,problem_04_0471,9951.743364334106,1.0,1,problem_04_0472,7775.521755218506,1.0,1,problem_04_0471,0.0,1.0,2
problem_04_0472,0.0,1.0,2,problem_04_0472,7935.731172561645,1.0,1,problem_04_0473,0.0,1.0,2,problem_04_0472,0.0,1.0,2
problem_04_0473,0.0,1.0,2,problem_04_0473,10465.712070465088,1.0,1,problem_04_0474,10970.919370651243,1.0,1,problem_04_0473,15.625,1.0,2
problem_04_0474,0.0,1.0,2,problem_04_0474,11350.41856765747,1.0,1,problem_04_0475,11978.734970092772,1.0,1,problem_04_0474,0.0,1.0,2
problem_04_0475,16.856908798217773,0.8,1,problem_04_0475,12169.76261138916,1.0,1,problem_04_0476,10192.211866378784,1.0,1,problem_04_0475,0.0,1.0,2
problem_04_0476,0.0,1.0,2,problem_04_0476,9965.141534805298,1.0,1,problem_04_0477,8697.651624679565,1.0,1,problem_04_0476,0.0,1.0,2
problem_04_0477,17.218828201293945,0.5,1,problem_04_0477,8985.547542572021,1.0,1,problem_04_0478,10909.00206565857,1.0,1,problem_04_0477,0.0,1.0,2
problem_04_0478,0.0,1.0,2,problem_04_0478,11131.46448135376,1.0,1,problem_04_0479,10837.597608566284,1.0,1,problem_04_0478,0.0,1.0,2
problem_04_0479,16.588687896728516,0.5,1,problem_04_0479,11360.40496826172,1.0,1,problem_04_0480,9967.355728149414,1.0,1,problem_04_0479,0.0,1.0,2
problem_04_0480,16.991615295410156,0.5,1,problem_04_0480,10056.405782699583,1.0,1,problem_04_0481,9836.650133132936,1.0,1,problem_04_0480,0.0,1.0,2
problem_04_0481,0.0,1.0,2,problem_04_0481,10366.372346878052,1.0,1,problem_04_0482,10563.13180923462,1.0,1,problem_04_0481,0.0,1.0,2
problem_04_0482,16.964197158813477,0.8,1,problem_04_0482,11232.64980316162,1.0,1,problem_04_0483,10654.868125915527,1.0,1,problem_04_0482,0.0,1.0,2
problem_04_0483,17.48037338256836,0.5,1,problem_04_0483,11252.840995788574,1.0,1,problem_04_0484,9786.64755821228,1.0,1,problem_04_0483,0.0,1.0,2
problem_04_0484,0.0,1.0,2,problem_04_0484,9982.04493522644,1.0,1,problem_04_0485,9623.037576675417,1.0,1,problem_04_0484,0.0,1.0,2
problem_04_0485,16.354799270629883,0.5,1,problem_04_0485,10213.301420211792,1.0,1,problem_04_0486,10788.23709487915,1.0,1,problem_04_0485,0.0,1.0,2
problem_04_0486,17.255783081054688,0.6666666666666666,1,problem_04_0486,11258.039236068726,1.0,1,problem_04_0487,9611.937522888184,1.0,1,problem_04_0486,0.0,1.0,2
problem_04_0487,0.0,1.0,2,problem_04_0487,10246.48666381836,1.0,1,problem_04_0488,9813.675165176392,1.0,1,problem_04_0487,0.0,1.0,2
problem_04_0488,17.614126205444336,0.7142857142857143,1,problem_04_0488,10091.556310653688,1.0,1,problem_04_0489,9842.7894115448,1.0,1,problem_04_0488,0.0,1.0,2
problem_04_0489,0.0,1.0,2,problem_04_0489,9914.870023727415,1.0,1,problem_04_0490,10896.875381469728,1.0,1,problem_04_0489,0.0,1.0,2
problem_04_0490,0.0,1.0,2,problem_04_0490,10018.502473831177,1.0,1,problem_04_0491,10738.28935623169,1.0,1,problem_04_0490,0.0,1.0,2
problem_04_0491,0.0,1.0,2,problem_04_0491,11365.358591079712,1.0,1,problem_04_0492,10906.753301620483,1.0,1,problem_04_0491,0.0,1.0,2
problem_04_0492,20.407915115356445,0.6666666666666666,1,problem_04_0492,11092.982769012451,1.0,1,problem_04_0493,10922.688007354736,1.0,1,problem_04_0492,0.0,1.0,2
problem_04_0493,0.0,1.0,2,problem_04_0493,11351.078748703005,1.0,1,problem_04_0494,11818.90344619751,1.0,1,problem_04_0493,0.0,1.0,2
