Name,Time-LPG,Corr-LPG,Sys-LPG,Planner-LPG,Time-FD,Corr-FD,Sys-FD,Planner-FD,Time-SOFAI-PF-FD,Corr-SOFAI-PF-FD,Sys-SOFAI-PF-FD,Planner-SOFAI-PF-FD,Time-SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__13,179.0361404,1,2,2,1243.8972,1,2,1,7115.31806,1,2,1,4496.712446,1,1,
ferry-l6-c6__9,161.5021229,1,2,2,1244.153738,1,2,1,5538.598299,1,2,1,3889.718056,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__7,158.9169502,1,2,2,1245.24641,1,2,1,8395.311356,1,2,1,4599.123001,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__15,166.1570072,1,2,2,1246.870041,1,2,1,7212.26263,1,2,1,4843.955994,1,2,3
ferry-l6-c6__25,192.4579144,1,2,2,1246.88673,1,2,1,5896.193981,1,2,1,4412.196875,1,1,
ferry-l6-c6__20,175.3745079,1,2,2,1249.720335,1,2,1,5830.550671,1,2,1,4515.179873,1,1,
ferry-l6-c6__96,161.8106365,1,2,2,1249.857664,1,2,1,8933.937073,1,2,1,4427.33264,1,1,
hanoiproblem_6_152__0,3074.401617,1,2,2,1250.644684,1,2,1,5411.255598,1,2,1,6665.011168,1,2,3
hanoiproblem_6_134__0,2979.202747,1,2,2,1251.146078,1,2,1,5981.075287,1,2,1,5237.338066,0,-1,-1
ferry-l6-c6__79,215.7001495,1,2,2,1252.794743,1,2,1,5321.703672,1,2,1,4563.806057,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__2,205.2097321,1,2,2,1252.860069,1,2,1,7543.637037,1,2,1,4594.30027,1,1,
ferry-l6-c6__21,169.6536541,1,2,2,1253.990889,1,2,1,6397.772789,1,2,1,4627.03228,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__16,153.198719,1,2,2,1254.658937,1,2,1,8379.968882,1,2,1,4829.643726,1,1,
ferry-l6-c6__22,184.1862202,1,2,2,1256.690979,1,2,1,5327.757597,1,2,1,4256.15859,1,1,
ferry-l6-c6__43,179.0006161,1,2,2,1256.742239,1,2,1,6200.142622,1,2,1,4235.597134,1,1,
ferry-l6-c6__18,180.4451942,1,2,2,1256.948233,1,2,1,8518.013239,1,2,1,4644.419193,1,1,
ferry-l6-c6__16,155.557394,1,2,2,1257.406473,1,2,1,10293.3917,1,2,1,3988.342524,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__8,165.6246185,1,2,2,1257.660627,1,2,1,7625.150681,1,2,1,4660.855293,1,1,
ferry-l6-c6__24,182.7380657,1,2,2,1258.450508,1,2,1,5368.525267,1,2,1,4453.135014,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__58,200.1159191,1,2,2,1258.755207,1,2,1,8481.220245,1,2,1,4541.593552,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__46,183.1383705,1,2,2,1259.121895,1,2,1,8071.0361,1,2,1,4509.497166,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__10,189.0077591,1,2,2,1261.127234,1,2,1,7100.050211,1,2,1,4925.903797,1,2,3
ferry-l6-c6__39,179.3587208,1,2,2,1262.51173,1,2,1,6830.880404,1,2,1,4633.597136,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__52,197.7572441,1,2,2,1262.720585,1,2,1,7448.654652,1,2,1,4312.376499,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__17,208.5034847,1,2,2,1264.340401,1,2,1,7238.176346,1,2,1,4641.461849,1,2,3
ferry-l6-c6__65,178.6623001,1,2,2,1267.32707,1,2,1,6955.604553,1,2,1,4483.334541,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__21,213.8984203,1,2,2,1267.379522,1,2,1,10661.18789,1,2,1,4477.824688,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__39,188.5828972,1,2,2,1267.462492,1,2,1,8024.833918,1,2,1,4307.893276,1,1,
ferry-l6-c6__15,195.2681541,1,2,2,1267.693281,1,2,1,8371.264935,1,2,1,4904.395103,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__49,190.9370422,1,2,2,1271.485806,1,2,1,7540.622711,1,2,1,4441.21933,1,1,
ferry-l6-c6__48,193.33601,1,2,2,1272.757292,1,2,1,6039.587021,1,2,1,4406.324625,1,1,
ferry-l6-c6__55,166.8097973,1,2,2,1274.084806,1,2,1,8397.803545,1,2,1,4700.897694,1,1,
ferry-l6-c6__7,187.3197556,1,2,2,1274.091959,1,2,1,5996.171713,1,2,1,4140.172482,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__36,209.3484402,1,2,2,1275.114298,1,2,1,8474.281549,1,2,1,4716.4433,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__34,180.952549,1,2,2,1275.357246,1,2,1,8642.553806,1,2,1,4098.448038,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__9,173.2273102,1,2,2,1277.916193,1,2,1,8322.836876,1,2,1,4208.629131,1,1,
zBWproblem_12_61__0,179.1865826,1,2,2,1278.221846,1,2,1,8362.474918,1,2,1,4492.144823,1,2,3
hanoiproblem_6_136__0,178.6949635,1,2,2,1278.738737,1,2,1,4619.701862,1,2,1,3447.128057,1,2,3
ferry-l6-c6__87,181.6632748,1,2,2,1279.380798,1,2,1,9562.842846,1,2,1,4461.017847,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__35,170.8397865,1,2,2,1281.059742,1,2,1,9816.357374,1,2,1,4647.200108,1,1,
ferry-l6-c6__44,202.2507191,1,2,2,1281.238317,1,2,1,8352.939129,1,2,1,4829.75173,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__44,186.8753433,1,2,2,1282.652378,1,2,1,7614.943743,1,2,1,4580.631256,1,1,
ferry-l6-c6__38,178.9567471,1,2,2,1282.981396,1,2,1,8422.632933,1,2,1,4098.851204,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__36,194.1187382,1,2,2,1285.409451,1,2,1,7606.146812,1,2,1,4491.019011,1,1,
hanoiproblem_6_192__0,159.0964794,1,2,2,1285.685301,1,2,1,5106.270552,1,2,1,4025.324345,1,2,3
ferry-l6-c6__28,179.911375,1,2,2,1285.820484,1,2,1,5665.252686,1,2,1,4314.808607,1,1,
ferry-l6-c6__53,205.8439255,1,2,2,1285.89797,1,2,1,6301.822662,1,2,1,4541.653156,1,1,
ferry-l6-c6__66,170.2075005,1,2,2,1286.000252,1,2,1,6285.289526,1,2,1,4503.391027,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__24,181.7073822,1,2,2,1286.792994,1,2,1,9057.383537,1,2,1,4663.49411,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__4,156.2552452,1,2,2,1287.474871,1,2,1,10069.94295,1,2,1,4846.471071,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__31,174.5793819,1,2,2,1287.695885,1,2,1,8430.808306,1,2,1,4627.496004,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__4,185.7655048,1,2,2,1289.628983,1,2,1,7462.346315,1,2,1,4368.514538,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__14,171.4398861,1,2,2,1292.309523,1,2,1,8174.16358,1,2,1,4587.038994,1,1,
ferry-l6-c6__95,182.9209328,1,2,2,1292.454004,1,2,1,6857.098341,1,2,1,4735.500813,1,1,
hanoiproblem_6_199__0,3094.266891,1,2,2,1293.436527,1,2,1,6344.444275,1,2,1,5281.164646,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__18,177.738905,1,2,2,1294.107437,1,2,1,8652.283192,1,2,1,4233.566046,1,1,
ferry-l6-c6__5,168.6360836,1,2,2,1296.391964,1,2,1,6718.345165,1,2,1,4437.104702,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__19,191.6723251,1,2,2,1297.404766,1,2,1,8664.543152,1,2,1,4569.811583,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__28,171.5342999,1,2,2,1297.433376,1,2,1,7305.609703,1,2,1,4349.848986,1,1,
ferry-l6-c6__45,183.3629608,1,2,2,1298.087835,1,2,1,9255.395889,1,2,1,4707.671165,1,1,
ferry-l6-c6__54,166.0306454,1,2,2,1299.729824,1,2,1,6877.286196,1,2,1,4542.141199,1,1,
ferry-l6-c6__30,170.3195572,1,2,2,1300.112009,1,2,1,6575.547457,1,2,1,4028.504133,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__3,196.8357563,1,2,2,1300.263882,1,2,1,7385.63323,1,2,1,4463.622808,1,1,
hanoiproblem_6_135__0,3288.010597,1,2,2,1300.612688,1,2,1,5677.835703,1,2,1,5494.509459,0,-1,-1
hanoiproblem_6_112__0,167.8490639,1,2,2,1300.773621,1,2,1,4767.243385,1,2,1,3872.016907,1,2,3
hanoiproblem_6_141__0,3112.417698,1,2,2,1301.807165,1,2,1,5460.792065,1,2,1,7789.064646,1,2,3
ferry-l6-c6__40,160.836935,1,2,2,1301.952362,1,2,1,7739.500523,1,2,1,4750.286102,1,1,
ferry-l6-c6__76,179.6483994,1,2,2,1304.370403,1,2,1,10172.20187,1,2,1,4581.698179,1,1,
hanoiproblem_6_102__0,2948.513031,1,2,2,1304.53372,1,2,1,5848.629713,1,2,1,5239.89749,1,2,3
ferry-l6-c6__64,170.4919338,1,2,2,1305.660248,1,2,1,5953.104258,1,2,1,4540.684223,1,1,
ferry-l6-c6__14,177.4709225,1,2,2,1307.506561,1,2,1,6936.551809,1,2,1,4382.217646,1,1,
ferry-l6-c6__19,180.0878048,1,2,2,1308.077812,1,2,1,6298.264027,1,2,1,4424.509048,1,1,
ferry-l6-c6__81,176.1274338,1,2,2,1310.039997,1,2,1,6129.876375,1,2,1,4106.621027,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__30,175.0349998,1,2,2,1310.166836,1,2,1,10279.04153,1,2,1,4448.27652,1,1,
hanoiproblem_10_118__0,208.4598541,1,2,2,1310.279846,1,2,1,7703.372002,1,2,1,4042.229891,1,2,3
zBWproblem_12_1__0,235.8188629,1,2,2,1311.98597,1,2,1,4930.237532,1,2,1,4861.287355,1,2,3
ferry-l6-c6__26,163.4750366,1,2,2,1312.674999,1,2,1,7055.561781,1,2,1,4482.489347,1,1,
hanoiproblem_6_161__0,2955.275536,1,2,2,1313.511848,1,2,1,5995.630741,1,2,1,8532.804251,1,2,3
ferry-l6-c6__17,174.4456291,1,2,2,1313.549757,1,2,1,6351.970434,1,2,1,5175.010681,1,2,3
ferry-l6-c6__42,164.0717983,1,2,2,1315.521717,1,2,1,10501.5471,1,2,1,4690.318584,1,1,
hanoiproblem_6_175__0,172.8525162,1,2,2,1315.790176,1,2,1,5158.793211,1,2,1,4042.586565,0,-1,-1
ferry-l6-c6__77,189.581871,1,2,2,1316.123486,1,2,1,5488.140345,1,2,1,4194.671154,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__12,177.1039963,1,2,2,1316.670179,1,2,1,8806.20265,1,2,1,4546.272278,1,1,
hanoiproblem_6_153__0,3032.521009,1,2,2,1316.876173,1,2,1,6245.513201,1,2,1,6948.470592,1,2,3
hanoiproblem_6_107__0,3039.528847,1,2,2,1318.025827,1,2,1,6019.771338,1,2,1,4989.665747,0,-1,-1
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__17,171.8146801,1,2,2,1319.028854,1,2,1,10370.7304,1,2,1,4060.894489,1,1,
ferry-l6-c6__62,160.9559059,1,2,2,1319.76819,1,2,1,6066.470146,1,2,1,4475.661039,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__1,170.8133221,1,2,2,1320.855379,1,2,1,8535.186768,1,2,1,4580.915928,1,1,
hanoiproblem_6_179__0,178.1721115,1,2,2,1320.96386,1,2,1,4878.85952,1,2,1,3799.264431,1,2,3
ferry-l6-c6__50,181.5273762,1,2,2,1321.763039,1,2,1,7242.980719,1,2,1,4560.141325,1,1,
hanoiproblem_6_193__0,2933.861017,1,2,2,1322.485209,1,2,1,5799.68977,1,2,1,5305.655003,1,2,1
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__12,172.4538803,1,2,2,1322.685957,1,2,1,7561.791182,1,2,1,4360.416412,1,1,
hanoiproblem_6_128__0,3044.658899,1,2,2,1324.570417,1,2,1,5467.348337,1,2,1,7663.132191,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__9,150.7818699,1,2,2,1324.6696,1,2,1,8121.662855,1,2,1,4386.030912,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__29,180.0763607,1,2,2,1326.045513,1,2,1,8733.442783,1,2,1,4228.976011,1,1,
ferry-l6-c6__70,201.7419338,1,2,2,1326.600552,1,2,1,5631.177902,1,2,1,4240.895987,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__48,163.4800434,1,2,2,1326.61438,1,2,1,7464.034319,1,2,1,4422.749043,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__20,194.0834522,1,2,2,1327.575207,1,2,1,10245.93425,1,2,1,4554.317951,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__5,166.7394638,1,2,2,1328.744411,1,2,1,10083.72474,1,2,1,4538.459063,1,1,
zBWproblem_10_91__0,190.0904179,1,2,2,1328.995466,1,2,1,4921.523571,1,2,1,4097.696781,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__21,190.8369064,1,2,2,1329.514265,1,2,1,7798.709869,1,2,1,4844.584227,1,1,
hanoiproblem_6_166__0,3070.287228,1,2,2,1330.881834,1,2,1,6932.318926,1,2,1,8272.506237,1,2,1
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__23,177.0932674,1,2,2,1336.818933,1,2,1,8747.94364,1,2,1,4889.697552,1,2,3
ferry-l6-c6__91,185.4114532,1,2,2,1337.303877,1,2,1,6318.13097,1,2,1,4324.282885,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__22,170.7589626,1,2,2,1338.721514,1,2,1,8747.959137,1,2,1,4387.226343,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__32,170.1602936,1,2,2,1338.757515,1,2,1,8249.688625,1,2,1,4537.670612,1,1,
hanoiproblem_6_139__0,3181.391954,1,2,2,1339.972734,1,2,1,6299.612045,1,2,1,7697.416067,1,2,3
ferry-l6-c6__34,167.9599285,1,2,2,1340.034485,1,2,1,5521.435976,1,2,1,4656.1234,1,1,
hanoiproblem_6_150__0,212.5508785,1,2,2,1340.291977,1,2,1,4845.251083,1,2,1,4015.506029,1,2,3
hanoiproblem_6_147__0,2978.524685,1,2,2,1341.572046,1,2,1,5181.700945,1,2,1,7410.262108,1,2,3
ferry-l6-c6__51,167.0839787,1,2,2,1342.150927,1,2,1,7833.133459,1,2,1,4420.554399,1,1,
hanoiproblem_6_103__0,545.4518795,1,2,2,1344.84911,1,2,1,5388.238907,1,2,1,4171.151876,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__27,166.9492722,1,2,2,1344.875813,1,2,1,8360.60214,1,2,1,4322.948217,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__10,162.0354652,1,2,2,1345.800877,1,2,1,8472.266674,1,2,1,4609.458685,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__25,195.9106922,1,2,2,1346.019268,1,2,1,8738.411903,1,2,1,4449.375629,1,1,
ferry-l6-c6__99,179.489851,1,2,2,1346.805096,1,2,1,6189.518213,1,2,1,4555.851698,1,2,3
ferry-l6-c6__46,163.2435322,1,2,2,1347.214937,1,2,1,6057.021856,1,2,1,4577.35014,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__23,182.081461,1,2,2,1348.449945,1,2,1,7342.560291,1,2,1,4417.541742,1,1,
hanoiproblem_6_165__0,2964.908361,1,2,2,1350.446701,1,2,1,5899.062395,1,2,1,4240.449667,0,-1,-1
ferry-l6-c6__73,158.254385,1,2,2,1352.033138,1,2,1,6054.682016,1,2,1,4610.793829,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__42,202.7294636,1,2,2,1352.101803,1,2,1,7444.838524,1,2,1,4329.516888,1,1,
ferry-l6-c6__63,176.2590408,1,2,2,1353.571415,1,2,1,6839.926004,1,2,1,4297.268152,1,1,
ferry-l6-c6__52,177.036047,1,2,2,1354.612589,1,2,1,6733.301163,1,2,1,4168.079615,1,1,
hanoiproblem_6_111__0,3029.740095,1,2,2,1355.852127,1,2,1,4803.401232,1,2,1,6731.255531,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__50,172.8885174,1,2,2,1356.623888,1,2,1,7292.113543,1,2,1,4351.075411,1,1,
ferry-l6-c6__13,173.2432842,1,2,2,1356.873274,1,2,1,6613.039255,1,2,1,4593.569756,1,1,
hanoiproblem_6_122__0,3067.885637,1,2,2,1357.544661,1,2,1,6252.661943,1,2,1,6751.792669,1,2,3
ferry-l6-c6__72,163.3861065,1,2,2,1357.83577,1,2,1,10421.90146,1,2,1,4205.025196,1,1,
hanoiproblem_6_177__0,3058.541059,1,2,2,1358.244419,1,2,1,5183.978081,1,2,1,4413.073301,1,2,3
hanoiproblem_6_125__0,3042.150497,1,2,2,1358.381748,1,2,1,5817.409277,1,2,1,7967.56959,1,2,3
ferry-l6-c6__90,160.6986523,1,2,2,1360.940695,1,2,1,5454.891443,1,2,1,4547.534943,1,1,
ferry-l6-c6__31,154.3312073,1,2,2,1361.274242,1,2,1,6698.965788,1,2,1,4053.838253,1,1,
ferry-l6-c6__36,171.2853909,1,2,2,1361.398458,1,2,1,6438.940287,1,2,1,4196.192503,1,1,
hanoiproblem_6_191__0,3048.542976,1,2,2,1362.4506,1,2,1,5884.791613,1,2,1,9002.429485,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__28,162.4062061,1,2,2,1363.089323,1,2,1,8660.564184,1,2,1,4214.29491,1,1,
ferry-l6-c6__56,154.5038223,1,2,2,1363.810301,1,2,1,6639.142752,1,2,1,4653.203011,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__35,180.5722713,1,2,2,1364.015341,1,2,1,8340.555429,1,2,1,4554.140806,1,1,
hanoiproblem_6_169__0,3126.21212,1,2,2,1364.056826,1,2,1,7903.477192,1,2,1,7759.110451,1,2,1
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__40,186.9630814,1,2,2,1364.383459,1,2,1,7420.189857,1,2,1,4227.64349,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__16,172.1148491,1,2,2,1365.304232,1,2,1,8836.298943,1,2,1,4461.722136,1,1,
ferry-l6-c6__93,167.4747467,1,2,2,1367.021561,1,2,1,6798.936367,1,2,1,4920.735598,1,1,
ferry-l6-c6__27,159.7611904,1,2,2,1369.551182,1,2,1,5645.056725,1,2,1,4171.866894,1,1,
hanoiproblem_6_172__0,2979.285955,1,2,2,1370.414972,1,2,1,5208.96244,1,2,1,9348.379612,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__38,185.521841,1,2,2,1371.116638,1,2,1,7328.948259,1,2,1,4632.025242,1,1,
hanoiproblem_6_182__0,175.9724617,1,2,2,1371.36817,1,2,1,5106.859922,1,2,1,3909.026146,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__57,193.0148602,1,2,2,1372.303724,1,2,1,7799.853563,1,2,1,4514.32395,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__37,155.6539536,1,2,2,1375.491381,1,2,1,8758.998871,1,2,1,4455.220699,1,1,
zBWproblem_10_99__0,176.8107414,1,2,2,1375.799417,1,2,1,5970.985651,1,2,1,4772.619963,1,2,3
hanoiproblem_6_176__0,3150.803566,1,2,2,1376.525879,1,2,1,5580.347776,1,2,1,7720.113754,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__54,197.858572,1,2,2,1376.760721,1,2,1,7498.361826,1,2,1,4952.534199,1,1,
ferry-l6-c6__74,185.3768826,1,2,2,1377.160788,1,2,1,6327.959538,1,2,1,4500.512838,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__38,175.3854752,1,2,2,1378.116846,1,2,1,10067.30914,1,2,1,4636.93881,1,1,
hanoiproblem_6_149__0,3153.088331,1,2,2,1378.897667,1,2,1,6439.558744,1,2,1,7965.763569,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__33,183.8655472,1,2,2,1379.263163,1,2,1,9759.064436,1,2,1,4612.422228,1,1,
hanoiproblem_6_190__0,3149.384022,1,2,2,1379.837751,1,2,1,5820.456982,1,2,1,4973.466396,0,-1,-1
ferry-l6-c6__69,194.9942112,1,2,2,1380.912542,1,2,1,8347.532034,1,2,1,4312.309265,1,1,
hanoiproblem_6_110__0,2994.79866,1,2,2,1381.561041,1,2,1,5974.863052,1,2,1,7817.079067,1,2,3
ferry-l6-c6__75,168.2395935,1,2,2,1382.232904,1,2,1,7822.069883,1,2,1,4620.509386,1,1,
ferry-l6-c6__61,208.7962627,1,2,2,1382.600546,1,2,1,10307.48153,1,2,1,4709.476948,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__0,172.8248596,1,2,2,1384.730339,1,2,1,8152.295828,1,2,1,4515.032768,1,2,3
ferry-l6-c6__37,172.9011536,1,2,2,1385.217667,1,2,1,8814.633369,1,2,1,4498.283863,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__14,186.2318516,1,2,2,1386.642694,1,2,1,10733.86502,1,2,1,4535.58445,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__3,169.3856716,1,2,2,1386.644363,1,2,1,8803.597212,1,2,1,4283.882141,1,1,
ferry-l6-c6__11,194.1044331,1,2,2,1387.618542,1,2,1,6454.640627,1,2,1,4420.66741,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__40,170.9425449,1,2,2,1388.768911,1,2,1,9041.346073,1,2,1,4228.288651,1,1,
ferry-l6-c6__85,185.6043339,1,2,2,1388.917923,1,2,1,6017.385721,1,2,1,4286.067724,1,1,
hanoiproblem_6_140__0,3132.334709,1,2,2,1388.984919,1,2,1,4807.414055,1,2,1,6905.26557,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__55,189.0690327,1,2,2,1389.488459,1,2,1,7269.978046,1,2,1,4556.904554,1,1,
